Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
            ,0.00,,Other,Wire Funds Received            BIC-PNBPUS3NNYC                210118943184                                                                                                                                              ,2021-01-19,2021-01-19,0.00,34982.00,0.00,0.00,         ,Financial
            ,0.00,,Other,TFR to Type 2                                                                                                                                                                                                           ,2021-01-20,2021-01-20,0.00,-34982.00,0.00,0.00,         ,Financial
            ,0.00,,Other,TFR from Type 1                                                                                                                                                                                                         ,2021-01-20,2021-01-20,0.00,34982.00,0.00,0.00,         ,Financial
            ,-2.00,1.15,SELL,PUT  WM     02/19/21   110     WASTE MANAGEMENT INC DEL       INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-21,2021-01-22,0.00,229.92,0.00,0.01,         ,Trade
            ,-1.00,1.65,SELL,PUT  HD     01/29/21   280     HOME DEPOT INC                 INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-22,2021-01-25,0.00,164.95,0.00,0.01,         ,Trade
            ,-1.00,0.53,SELL,CALL NIO    01/29/21    70     NIO INC ADS                    INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-22,2021-01-25,0.00,52.95,0.00,0.01,         ,Trade
            ,0.00,,Other,Wire Funds Received            BIC-PNBPUS3NNYC                210122011839                                                                                                                                              ,2021-01-22,2021-01-22,0.00,34982.00,0.00,0.00,         ,Financial
            ,1.00,2.4,BUY,PUT  MCD    01/29/21   210     MCDONALDS CORP                 INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-22,2021-01-25,0.00,-240.04,0.00,0.00,         ,Trade
NIO         ,100.00,60.7685,BUY,***NIO INC                     AMERICAN DEPOSITARY SHARES ECH RPRSNTNG ONE CL A ORD SHARE    INTERNET ORDER                 UNSOLICITED                                                                                 ,2021-01-22,2021-01-26,0.00,-6076.85,0.00,0.00,62914V106,Trade
            ,-1.00,2.3,SELL,PUT  PYPL   01/29/21   245     PAYPAL HOLDINGS INC            INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-22,2021-01-25,0.00,229.95,0.00,0.01,         ,Trade
            ,-2.00,0.75,SELL,PUT  JD     01/29/21    90     JD.COM INC                     INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-22,2021-01-25,0.00,149.92,0.00,0.01,         ,Trade
SCI         ,200.00,51.067,BUY,SERVICE CORP INTERNATIONAL     INTERNET ORDER                 UNSOLICITED                                                                                                                                               ,2021-01-22,2021-01-26,0.00,-10213.4,0.00,0.00,817565104,Trade
            ,1.00,0.28,BUY,PUT  WMT    01/29/21   140     WALMART INC                    INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-22,2021-01-25,0.00,-28.04,0.00,0.00,         ,Trade
KO          ,200.00,48.6384,BUY,COCA COLA COMPANY              (THE)                          INTERNET ORDER                 UNSOLICITED                                                                                                                ,2021-01-25,2021-01-27,0.00,-9727.68,0.00,0.00,191216100,Trade
            ,-10.00,38.78,SELL,PUT  TSLA   02/05/21   855     TESLA INC                      INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-25,2021-01-26,0.00,38778.78,0.00,0.86,         ,Trade
            ,-10.00,119.78,SELL,PUT  AMZN   02/12/21  3310     AMAZON.COM INC                 INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-25,2021-01-26,0.00,119776.99,0.00,2.65,         ,Trade
            ,2.00,0.16,BUY,CALL WBA    01/29/21    50     WALGREENS BOOTS ALLIANCE INC   INTERNET ORDER                 UNSOLICITED                    OPEN CONTRACT                                                                               ,2021-01-25,2021-01-26,0.00,-32.08,0.00,0.00,         ,Trade
            ,4.00,0.16,BUY,PUT  JD     01/29/21    90     JD.COM INC                     INTERNET ORDER                 UNSOLICITED                    CLOSING CONTRACT                                                                            ,2021-01-25,2021-01-26,0.00,-64.14,0.00,0.00,         ,Trade
